name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
New York,2023-03-19,6.3,-1,2.1,3,-6.3,-2.5,-13,31.8,0,0,0,,0,0,51.3,29.4,281,1015.5,27.8,16,255.8,22.1,9,10,2023-03-19T07:01:22,2023-03-19T19:06:57,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F8726,KNYC,F1417,72503014732"
New York,2023-03-20,10.5,-0.2,4.8,10.5,-3.8,2.7,-9.6,35.4,0,0,0,,0,0,38.9,21.6,243.3,1024.4,3.2,16,239.8,20.6,8,10,2023-03-20T06:59:42,2023-03-20T19:08:01,0.96,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,F8726,KNYC,F1417,72503014732"
New York,2023-03-21,16.8,4.2,10.7,16.8,2.8,10,-9.5,25.6,0,0,0,,0,0,40.7,26.2,229.9,1026.9,13.3,16,244.9,21.1,8,10,2023-03-21T06:58:03,2023-03-21T19:09:05,0,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,F8726,KNYC,F1417,72503014732"
New York,2023-03-22,15.8,8.6,11.4,15.8,6.6,10.9,-1.8,42.8,0,0,0,,0,0,40.7,24.1,189.2,1026.2,41.6,16,195.6,16.9,8,10,2023-03-22T06:56:23,2023-03-22T19:10:09,0.03,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F8726,KNYC,F1417,72503014732"
New York,2023-03-23,15.6,8.9,12.1,15.6,8.3,11.9,8.7,80.3,1.957,100,16.67,rain,0,0,38.9,17.2,241.9,1013.4,73.6,11.5,59.7,5.1,2,10,2023-03-23T06:54:44,2023-03-23T19:11:13,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"72505394728,KEWR,KLGA,72502014734,F8726,KNYC,F1417,72503014732"
New York,2023-03-24,14.8,6.8,10,14.8,3.7,9.2,-0.8,47.8,0,0,0,,0,0,47.9,20.5,325.4,1013.8,53.8,16,119.4,10.4,5,10,2023-03-24T06:53:05,2023-03-24T19:12:16,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F8726,KNYC,F1417,72503014732"
New York,2023-03-25,8.7,5.7,6.8,6.8,2.2,3.8,1.4,70.5,3.957,100,33.33,rain,0,0,44.6,24.5,74.5,1013.7,83.9,11.1,16.2,1.4,1,10,2023-03-25T06:51:25,2023-03-25T19:13:20,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,KEWR,KLGA,72502014734,F8726,KNYC,F1417,72503014732"
New York,2023-03-26,16.9,6.1,11.6,16.9,3.2,10.9,-1.3,49.6,0,0,0,,0,0,44.1,20.2,269.1,1011.1,31.4,13,255.3,21.8,9,10,2023-03-26T06:49:46,2023-03-26T19:14:23,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
New York,2023-03-27,15.2,6.9,10.4,15.2,3.8,9.5,-2.9,43.5,6.479,100,16.67,rain,0,0,33.5,21.6,54.5,1015.8,45.5,15.2,173.8,15.1,8,10,2023-03-27T06:48:06,2023-03-27T19:15:26,0.19,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"72505394728,KEWR,KLGA,72502014734,F8726,KNYC,F1417,72503014732"
New York,2023-03-28,11,5.8,8.2,11,3.5,7,0,59.4,0.048,100,4.17,rain,0,0,38.9,18.1,6,1017.7,88,16,116.2,10,5,10,2023-03-28T06:46:27,2023-03-28T19:16:29,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72505394728,KEWR,KLGA,72502014734,F8726,KNYC,F1417,72503014732"
New York,2023-03-29,12.3,4.3,7.9,12.3,1.7,6.4,-5.6,40,0,0,0,,0,0,40.7,24.4,249.7,1019.4,21.6,16,252.5,21.9,9,10,2023-03-29T06:44:48,2023-03-29T19:17:32,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
New York,2023-03-30,7.9,-0.5,4.1,5,-6.6,0.2,-9.6,38.8,0.373,100,12.5,rain,0,0,61.2,30.8,305.5,1024.1,21.7,16,267.1,22.9,9,10,2023-03-30T06:43:09,2023-03-30T19:18:35,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
New York,2023-03-31,11.4,3.7,7.9,11.4,2.3,7.4,-2.2,50.2,0,0,0,,0,0,44.7,21,166.8,1022.8,72,16,139.1,12,6,10,2023-03-31T06:41:30,2023-03-31T19:19:38,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F8726,KNYC,F1417,72503014732"
